source,target
4057,262
4058,263
4059,263
4059,264
4060,266
4060,267
4060,268
4061,269
4062,270
4063,271
4064,273
4064,274
4065,275
4066,276
4066,277
4067,278
4068,71
4069,279
4070,282
4071,283
4072,284
4073,76
4074,76
4075,285
4076,286
4077,287
4078,288
4079,287
4079,289
4080,290
4081,292
4082,291
4083,296
4084,298
4085,43
4086,299
4087,300
4088,302
4089,303
4090,304
4091,305
4092,306
4093,306
4094,307
4095,308
4095,309
4096,310
4097,311
4097,312
4098,313
4098,314
4098,315
4099,313
4099,314
4099,315
4100,311
4100,312
4101,317
4102,320
4103,320
4103,321
4104,319
4104,322
4105,319
4105,322
4106,323
4107,324
4108,325
4109,327
4110,328
4111,329
4112,334
4113,335
4114,336
4115,337
4116,339
4117,340
4118,340
4119,341
4119,342
4120,343
4121,344
4122,344
4123,346
4124,346
4125,346
4126,73
4127,349
4127,350
4128,346
4129,353
4130,335
4131,314
4132,354
4133,356
4134,357
4135,357
4135,358
4136,359
4137,361
4138,362
4139,358
4140,363
4141,364
4142,363
4143,365
4144,366
4145,367
4146,368
4147,369
4148,370
4149,371
4150,372
4151,373
4152,374
4153,318
4154,318
4155,291
4156,318
4157,318
4157,376
4158,318
4159,267
4160,73
4160,318
4161,378
4162,378
4162,379
4162,380
4163,278
4163,378
4163,381
4164,382
4165,36
4165,383
4166,121
4166,365
4167,384
4168,385
4169,384
4169,386
4169,387
4170,389
4171,391
4172,391
4173,391
4174,308
4174,391
4175,392
4176,394
4177,395
4178,395
4178,396
4179,91
4180,274
4181,398
4182,399
4183,400
4184,388
4185,378
4186,388
4187,91
4187,402
4187,403
4188,297
4189,318
4189,406
4190,318
4190,406
4191,407
4192,408
4193,408
4194,102
4194,408
4195,409
4195,410
4196,411
4197,414
4198,415
4199,397
4200,347
4200,416
4201,269
4201,417
4202,361
4203,280
4204,418
4204,419
4205,422
4206,424
4207,424
4208,424
4209,366
4210,277
4210,366
4211,425
4212,276
4212,277
4213,426
4214,428
4215,428
4216,333
4217,429
4218,429
4219,392
4219,429
4220,430
4221,431
4222,433
4223,434
4224,324
4224,436
4225,440
4226,441
4227,441
4228,441
4229,441
4230,441
4231,441
4231,442
4232,396
4232,441
4233,441
4234,445
4235,84
4236,446
4237,447
4238,448
4239,450
4240,452
4241,439
4241,453
4242,454
4243,454
4244,455
4245,455
4246,428
4246,456
4247,457
4248,460
4249,460
4250,417
4250,461
4251,463
4252,464
4253,94
4254,465
4255,352
4256,468
4256,469
4257,468
4258,379
4258,470
4259,72
4260,72
4261,72
4261,209
4262,72
4262,73
4263,72
4263,73
4264,72
4264,73
4265,72
4265,73
4266,72
4266,73
4267,72
4267,73
4268,425
4268,471
4269,472
4270,474
4271,474
4272,474
4273,474
4274,476
4275,476
4276,484
4277,484
4278,484
4279,484
4280,484
4281,486
4282,8
4283,352
4284,487
4285,383
4286,488
4286,489
4287,375
4288,490
4289,491
4290,492
4291,493
4292,496
4293,439
4293,497
4294,439
4295,498
4295,499
4296,209
4297,501
4298,501
4298,502
4299,310
4300,503
4301,504
4302,310
4303,310
4303,505
4304,469
4305,433
4306,399
4307,399
4308,506
4309,433
4310,509
4311,510
4312,510
4313,511
4314,289
4315,512
4316,513
4317,514
4318,86
4319,80
4319,86
4320,42
4320,515
4321,516
4322,497
4323,517
4324,518
4325,420
4325,519
4326,420
4326,519
4327,246
4328,520
4329,520
4330,521
4331,521
4331,522
4332,76
4333,76
4334,524
4335,296
4335,345
4336,390
4336,525
4337,526
4338,526
4339,527
4340,520
4340,529
4341,531
4342,531
4343,532
4343,533
4344,534
4345,535
4346,536
4347,537
4348,538
4349,539
4349,540
4350,539
4350,540
4351,539
4351,540
4352,541
4353,47
4353,542
4354,542
4355,289
4356,377
4357,543
4358,47
4358,545
4358,546
4359,322
4359,547
4360,322
4360,547
4361,548
4362,548
4363,548
4364,548
4364,549
4365,551
4366,14
4367,271
4368,553
4369,553
4369,554
4370,555
4371,555
4372,555
4373,556
4374,11
4374,557
4375,558
4376,559
4377,560
4378,222
4378,355
4379,222
4380,562
4381,562
4382,308
4383,308
4383,563
4384,80
4385,80
4385,86
4385,87
4385,564
4386,301
4387,565
4388,368
4388,566
4388,567
4389,568
4390,568
4391,569
4392,570
4393,570
4394,79
4394,480
4395,278
4396,548
4397,548
4398,571
4399,572
4400,324
4401,71
4401,573
4402,574
4403,575
4404,530
4405,530
4406,530
4407,530
4408,576
4409,577
4410,322
4411,579
4411,580
4412,575
4413,581
4414,581
4415,582
4416,583
4417,151
4418,584
4419,585
4420,586
4421,587
4422,588
4423,589
4424,404
4425,305
4425,591
4426,591
4427,592
4428,593
4429,594
4429,595
4429,596
4430,597
4431,269
4432,598
4433,497
4433,540
4434,367
4435,384
4436,599
4437,600
4438,277
4439,277
4440,73
4441,73
4442,497
4443,497
4444,603
4445,497
4446,603
4447,603
4448,603
4449,497
4450,497
4451,497
4452,497
4453,604
4454,596
4454,605
4455,606
4455,607
4456,608
4457,520
4458,520
4459,609
4460,540
4461,611
4462,614
4463,269
4463,615
4464,579
4465,8
4466,616
4467,91
4468,618
4469,245
4469,246
4470,619
4470,620
4471,619
4472,619
4473,622
4474,91
4475,624
4476,615
4477,619
4477,625
4478,243
4479,246
4480,627
4481,628
4482,628
4483,597
4484,630
4485,631
4486,632
4487,631
4488,633
4489,322
4490,322
4490,547
4491,322
4492,634
4493,635
4494,635
4495,635
4496,310
4496,636
4497,310
4498,598
4498,637
4499,639
4499,640
4500,641
4501,642
4502,643
4503,644
4504,644
4505,269
4505,305
4506,305
4507,365
4507,367
4508,646
4509,647
4510,648
4510,649
4511,650
4512,653
4513,132
4514,165
4515,441
4516,560
4517,461
4518,461
4519,461
4520,654
4521,654
4522,655
4523,365
4523,656
4524,657
4525,659
4526,659
4527,659
4527,660
4528,646
4529,439
4529,662
4530,439
4530,662
4531,663
4532,664
4532,665
4533,530
4533,666
4534,536
4535,667
4536,668
4536,669
4537,668
4537,669
4538,658
4539,670
4540,671
4541,641
4542,672
4543,673
4544,643
4545,318
4545,674
4546,675
4547,91
4547,676
4548,5
4549,678
4549,679
4550,678
4550,680
4551,576
4552,681
4552,682
4553,683
4554,684
4555,684
4556,677
4557,685
4558,564
4559,564
4560,686
4561,279
4562,688
4563,689
4564,689
4565,690
4565,691
4566,690
4567,305
4568,392
4569,462
4570,307
4571,692
4572,694
4573,398
4574,695
4575,696
4575,697
4576,698
4577,698
4578,384
4579,337
4579,342
4579,700
4580,433
4581,701
4582,58
4583,702
4584,702
4585,325
4586,506
4587,506
4588,295
4589,706
4590,326
4591,708
4592,709
4593,709
4594,709
4594,710
4595,3
4596,711
4597,331
4598,267
4598,367
4599,267
4599,367
4600,712
4601,289
4602,714
4603,715
4604,643
4605,165
4606,700
4607,377
4607,440
4608,571
4608,717
4609,289
4610,718
4611,324
4611,721
4612,722
4613,77
4614,570
4615,76
4616,723
4617,724
4618,724
4619,564
4620,612
4621,449
4622,401
4622,725
4623,401
4623,725
4624,726
4625,728
4626,383
4626,729
4627,76
4627,733
4628,76
4628,733
4629,76
4629,733
4630,734
4631,734
4632,734
4633,735
4633,736
4634,737
4635,738
4636,499
4637,669
4638,669
4639,669
4640,423
4641,423
4642,423
4643,423
4644,530
4645,740
4646,601
4647,741
4648,73
4649,742
4650,294
4651,441
4652,744
4653,744
4654,744
4655,529
4656,745
4657,745
4658,595
4659,746
4660,392
4661,392
4662,565
4663,700
4664,277
4665,747
4666,748
4667,749
4668,750
4669,613
4670,751
4671,752
4672,752
4673,753
4674,753
4675,754
4676,699
4677,699
4678,36
4678,758
4679,759
4679,760
4680,761
4681,763
4682,763
4683,765
4684,271
4684,766
4685,271
4685,766
4686,767
4687,73
4688,73
4689,16
4690,16
4691,769
4692,769
4693,82
4694,103
4695,770
4696,584
4696,771
4697,769
4698,772
4699,91
4700,76
4701,91
4702,102
4703,102
4704,773
4705,197
4706,774
4707,775
4708,776
4709,460
4710,777
4711,102
4712,778
4713,779
4714,781
4715,404
4716,566
4717,566
4718,328
4719,566
4720,628
4721,782
4722,643
4723,643
4724,643
4725,643
4726,784
4727,643
4728,643
4729,785
4730,785
4731,786
4732,785
4733,787
4734,483
4735,788
4736,789
4737,789
4738,678
4739,678
4740,793
4741,742
4742,794
4743,19
4743,742
4744,794
4745,742
4746,669
4747,691
4748,691
4749,444
4749,795
4750,326
4751,691
4752,796
4753,383
4753,797
4754,478
4755,272
4756,798
4757,695
4758,289
4759,289
4760,800
4761,801
4762,802
4763,802
4764,91
4764,676
4765,151
4766,151
4767,106
4768,80
4769,557
4770,557
4771,709
4771,710
4772,557
4773,11
4773,557
4773,803
4774,805
4775,806
4776,326
4777,299
4778,807
4779,548
4780,809
4781,810
4782,810
4783,397
4783,719
4784,557
4785,811
4785,812
4786,813
4787,813
4788,298
4789,274
4789,815
4790,414
4791,723
4792,68
4792,479
4793,817
4794,79
4794,817
4795,818
4796,373
4797,819
4797,820
4798,326
4799,512
4800,512
4801,822
4802,823
4803,341
4804,382
4805,824
4806,824
4807,767
4808,826
4809,827
4810,828
4811,373
4812,373
4813,373
4814,373
4815,56
4815,830
4816,739
4817,831
4818,739
4819,739
4820,695
4820,739
4821,297
4822,289
4822,308
4822,342
4822,832
4822,833
4823,834
4824,73
4825,580
4826,835
4827,835
4828,836
4828,837
4829,104
4830,695
4830,834
4831,720
4832,560
4833,610
4834,839
4835,308
4835,828
4836,840
4837,246
4837,841
4837,842
4838,844
4839,844
4840,845
4841,845
4842,843
4843,299
4843,845
4844,846
4845,845
4846,512
4847,847
4848,848
4849,848
4850,365
4851,849
4852,850
4853,72
4853,73
4853,680
4854,3
4855,851
4856,852
4857,106
4858,276
4859,326
4860,259
4861,713
4862,324
4862,854
4863,87
4863,324
4863,854
4864,76
4865,329
4866,420
4867,764
4868,856
4869,75
4870,86
4870,87
4870,857
4871,858
4872,80
4872,713
4873,485
4874,485
4875,833
4875,859
4876,318
4876,638
4877,748
4878,474
4878,748
4879,278
4880,245
4881,860
4882,669
4883,321
4884,87
4885,861
4886,19
4887,19
4888,19
4889,19
4890,862
4891,862
4891,863
4892,864
4893,442
4894,812
4895,472
4896,472
4897,866
4898,866
4899,313
4899,314
4900,769
4901,266
4901,268
4902,867
4903,457
4904,391
4904,868
4905,435
4906,398
4907,869
4908,298
4909,331
4910,91
4911,375
4911,619
4912,375
4912,619
4913,373
4914,871
4915,367
4915,872
4915,873
4916,874
4917,875
4918,373
4918,875
4919,269
4920,879
4921,284
4922,880
4923,881
4924,882
4925,740
4926,883
4927,884
4928,885
4929,297
4930,886
4931,887
4932,836
4933,94
4933,758
4934,861
4935,888
4936,735
4936,736
4937,890
4938,890
4939,891
4940,88
4941,377
4942,377
4943,714
4944,384
4945,559
4946,252
4947,892
4948,559
4949,559
4950,893
4951,326
4951,893
4952,653
4953,397
4954,392
4955,894
4956,535
4957,495
4957,896
4958,896
4958,897
4959,898
4960,557
4960,803
4961,899
4961,900
4962,901
4963,902
4964,633
4965,903
4966,347
4967,347
4968,347
4968,904
4969,645
4970,905
4971,669
4972,888
4973,669
4974,540
4975,906
4976,907
4977,433
4978,367
4978,873
4979,73
4980,73
4981,72
4981,73
4982,909
4983,505
4984,910
4985,373
4986,331
4987,772
4988,772
4989,911
4990,912
4991,816
4991,913
4992,914
4993,914
4994,397
4995,71
4996,915
4997,915
4998,915
4999,915
5000,290
5001,472
5002,916
5003,652
5004,91
5004,290
5005,917
5006,292
5007,917
5008,568
5008,917
5009,917
5010,918
5011,919
5012,919
5013,919
5014,732
5015,775
5016,793
5017,76
5018,920
5019,459
5020,921
5021,446
5022,246
5022,922
5023,396
5024,923
5025,503
5026,924
5027,507
5028,91
5029,91
5030,102
5031,91
5032,91
5032,274
5033,925
5034,926
5035,80
5036,927
5037,505
5038,928
5039,505
5040,505
5041,929
5042,505
5043,645
5044,930
5045,930
5046,557
5047,931
5048,931
5049,645
5049,932
5050,645
5051,404
5051,405
5052,404
5053,540
5054,297
5054,933
5055,297
5055,933
5056,200
5057,677
5058,677
5059,518
5060,518
5061,896
5062,935
5063,548
5063,549
