source,target
4057,26108
4058,26108
4059,26108
4060,26108
4061,26108
4062,26108
4063,26108
4064,26108
4065,26108
4066,26108
4067,26108
4068,26108
4069,26108
4070,26108
4071,26108
4072,26108
4073,26108
4074,26108
4075,26108
4076,26108
4077,26108
4078,26108
4079,26108
4080,26108
4081,26108
4082,26108
4083,26108
4084,26108
4085,26108
4086,26108
4087,26108
4088,26108
4089,26108
4090,26108
4091,26108
4092,26108
4093,26108
4094,26108
4095,26108
4096,26108
4097,26108
4098,26108
4099,26108
4100,26108
4101,26108
4102,26108
4103,26108
4104,26108
4105,26108
4106,26108
4107,26108
4108,26108
4109,26108
4110,26108
4111,26108
4112,26108
4113,26108
4114,26108
4115,26108
4116,26108
4117,26108
4118,26108
4119,26108
4120,26108
4121,26108
4122,26108
4123,26108
4124,26108
4125,26108
4126,26108
4127,26108
4128,26108
4129,26108
4130,26108
4131,26108
4132,26108
4133,26108
4134,26108
4135,26108
4136,26108
4137,26108
4138,26108
4139,26108
4140,26108
4141,26108
4142,26108
4143,26108
4144,26108
4145,26108
4146,26108
4147,26108
4148,26108
4149,26108
4150,26108
4151,26108
4152,26108
4153,26108
4154,26108
4155,26108
4156,26108
4157,26108
4158,26108
4159,26108
4160,26108
4161,26108
4162,26108
4163,26108
4164,26108
4165,26108
4166,26108
4167,26108
4168,26108
4169,26108
4170,26108
4171,26108
4172,26108
4173,26108
4174,26108
4175,26108
4176,26108
4177,26108
4178,26108
4179,26108
4180,26108
4181,26108
4182,26108
4183,26108
4184,26108
4185,26108
4186,26108
4187,26108
4188,26108
4189,26108
4190,26108
4191,26108
4192,26108
4193,26108
4194,26108
4195,26108
4196,26108
4197,26108
4198,26108
4199,26108
4200,26108
4201,26108
4202,26108
4203,26108
4204,26108
4205,26108
4206,26108
4207,26108
4208,26108
4209,26108
4210,26108
4211,26108
4212,26108
4213,26108
4214,26108
4215,26108
4216,26108
4217,26108
4218,26108
4219,26108
4220,26108
4221,26108
4222,26108
4223,26108
4224,26108
4225,26108
4226,26108
4227,26108
4228,26108
4229,26108
4230,26108
4231,26108
4232,26108
4233,26108
4234,26108
4235,26108
4236,26108
4237,26108
4238,26108
4239,26108
4240,26108
4241,26108
4242,26108
4243,26108
4244,26108
4245,26108
4246,26108
4247,26108
4248,26108
4249,26108
4250,26108
4251,26108
4252,26108
4253,26108
4254,26108
4255,26108
4256,26108
4257,26108
4258,26108
4259,26108
4260,26108
4261,26108
4262,26108
4263,26108
4264,26108
4265,26108
4266,26108
4267,26108
4268,26108
4269,26108
4270,26108
4271,26108
4272,26108
4273,26108
4274,26108
4275,26108
4276,26108
4277,26108
4278,26108
4279,26108
4280,26108
4281,26108
4282,26108
4283,26108
4284,26108
4285,26108
4286,26108
4287,26108
4288,26108
4289,26108
4290,26108
4291,26108
4292,26108
4293,26108
4294,26108
4295,26108
4296,26108
4297,26108
4298,26108
4299,26108
