source,target
4057,18389
4057,18390
4057,18391
4057,18392
4057,18393
4058,18408
4058,18409
4058,18410
4058,18411
4058,18412
4058,18413
4058,18414
4059,18415
4059,18416
4059,18417
4059,18418
4059,18419
4059,18420
4060,18431
4060,18432
4060,18433
4060,18434
4060,18435
4061,18412
4061,18443
4061,18444
4061,18445
4062,18446
4062,18447
4062,18414
4062,18448
4062,18449
4062,18450
4062,18451
4063,18411
4063,18436
4063,18468
4063,18469
4063,18470
4064,18485
4064,18486
4064,18487
4064,18488
4065,18411
4065,18489
4065,18490
4066,18425
4066,18491
4066,18492
4067,18493
4067,18494
4067,18495
4067,18496
4067,18497
4068,18503
4068,18504
4068,18505
4068,18506
4068,18507
4068,18508
4069,18509
4069,18510
4069,18511
4069,18512
4070,18392
4070,18531
4070,18532
4070,18533
4070,18534
4071,18436
4071,18535
4071,18536
4071,18537
4071,18538
4071,18539
4072,18422
4072,18542
4072,18543
4072,18544
4073,18550
4073,18551
4073,18552
4073,18553
4073,18554
4073,18555
4073,18397
4074,18397
4074,18532
4074,18553
4074,18554
4075,18561
4075,18562
4076,18385
4076,18422
4076,18563
4076,18564
4076,18565
4077,18412
4077,18413
4077,18574
4077,18576
4078,18390
4078,18578
4078,18579
4078,18580
4078,18581
4078,18582
4078,18583
4079,18576
4079,18584
4079,18585
4080,18587
4080,18588
4080,18589
4080,18590
4080,18591
4080,18592
4080,18593
4081,18413
4081,18508
4081,18521
4081,18548
4081,18595
4081,18596
4081,18597
4081,18598
4081,18599
4081,18600
4081,18601
4081,18602
4081,18603
4081,18604
4081,18605
4081,18606
4081,18607
4082,18608
4082,18609
4082,18417
4082,18610
4082,18611
4082,18612
4083,18481
4083,18613
4083,18614
4083,18615
4083,18616
4084,18392
4084,18411
4084,18471
4084,18623
4084,18624
4085,18453
4085,18632
4085,18633
4085,18634
4085,18635
4085,18636
4085,18637
4086,18392
4086,18390
4086,18436
4086,18647
4086,18648
4086,18649
4087,18385
4087,18568
4087,18662
4087,18663
4087,18664
4088,18446
4088,18552
4088,18671
4088,18672
4088,18673
4088,18674
4088,18675
4088,18676
4088,18624
4089,18677
4089,18678
4089,18679
4089,18680
4090,18392
4090,18446
4090,18466
4090,18469
4090,18666
4090,18690
4090,18691
4090,18692
4090,18693
4090,18694
4090,18388
4091,18411
4091,18418
4091,18481
4091,18502
4091,18657
4091,18667
4091,18701
4091,18702
4091,18703
4092,18421
4092,18453
4092,18504
4092,18546
4092,18713
4093,18690
4093,18718
4093,18719
4093,18533
4094,18699
4094,18720
4094,18721
4095,18540
4095,18683
4095,18724
4095,18725
4095,18726
4096,18413
4096,18611
4096,18724
4096,18728
4097,18583
4097,18724
4097,18731
4097,18732
4097,18733
4098,18504
4098,18464
4098,18734
4098,18735
4098,18736
4098,18737
4098,18738
4098,18739
4099,18533
4099,18737
4099,18739
4099,18988
4099,19004
4099,19149
4099,19303
4100,18411
4100,18731
4100,19304
4101,18412
4101,18536
4101,18561
4101,19029
4101,19306
4101,19307
4102,18386
4102,18411
4102,18724
4102,18834
4102,18953
4102,19235
4102,19308
4102,19309
4103,18446
4103,18567
4103,18570
4103,18575
4103,18759
4103,19310
4104,18658
4104,18999
4104,19311
4104,19140
4105,18829
4105,19140
4106,18502
4106,19103
4106,19312
4106,19313
