node1,node2,rel
4057,262,0
4058,263,0
4059,263,0
4059,264,0
4060,266,0
4060,267,0
4060,268,0
4061,269,0
4062,270,0
4063,271,0
4064,273,0
4064,274,0
4065,275,0
4066,276,0
4066,277,0
4067,278,0
4068,71,0
4069,279,0
4070,282,0
4071,283,0
4072,284,0
4073,76,0
4074,76,0
4075,285,0
4076,286,0
4077,287,0
4078,288,0
4079,287,0
4079,289,0
4080,290,0
4081,292,0
4082,291,0
4083,296,0
4084,298,0
4085,43,0
4086,299,0
4087,300,0
4088,302,0
4089,303,0
4090,304,0
4091,305,0
4092,306,0
4093,306,0
4094,307,0
4095,308,0
4095,309,0
4096,310,0
4097,311,0
4097,312,0
4098,313,0
4098,314,0
4098,315,0
4099,313,0
4099,314,0
4099,315,0
4100,311,0
4100,312,0
4101,317,0
4102,320,0
4103,320,0
4103,321,0
4104,319,0
4104,322,0
4105,319,0
4105,322,0
4106,323,0
4107,324,0
4108,325,0
4109,327,0
4110,328,0
4111,329,0
4112,334,0
4113,335,0
4114,336,0
4115,337,0
4116,339,0
4117,340,0
4118,340,0
4119,341,0
4119,342,0
4120,343,0
4121,344,0
4122,344,0
4123,346,0
4124,346,0
4125,346,0
4126,73,0
4127,349,0
4127,350,0
4128,346,0
4129,353,0
4130,335,0
4131,314,0
4132,354,0
4133,356,0
4134,357,0
4135,357,0
4135,358,0
4136,359,0
4137,361,0
4138,362,0
4139,358,0
4140,363,0
4141,364,0
4142,363,0
4143,365,0
4144,366,0
4145,367,0
4146,368,0
4147,369,0
4148,370,0
4149,371,0
4150,372,0
4151,373,0
4152,374,0
4153,318,0
4154,318,0
4155,291,0
4156,318,0
4157,318,0
4157,376,0
4158,318,0
4159,267,0
4160,73,0
4160,318,0
4161,378,0
4162,378,0
4162,379,0
4162,380,0
4163,278,0
4163,378,0
4163,381,0
4164,382,0
4165,36,0
4165,383,0
4166,121,0
4166,365,0
4167,384,0
4168,385,0
4169,384,0
4169,386,0
4169,387,0
4170,389,0
4171,391,0
4172,391,0
4173,391,0
4174,308,0
4174,391,0
4175,392,0
4176,394,0
4177,395,0
4178,395,0
4178,396,0
4179,91,0
4180,274,0
4181,398,0
4182,399,0
4183,400,0
4184,388,0
4185,378,0
4186,388,0
4187,91,0
4187,402,0
4187,403,0
4188,297,0
4189,318,0
4189,406,0
4190,318,0
4190,406,0
4191,407,0
4192,408,0
4193,408,0
4194,102,0
4194,408,0
4195,409,0
4195,410,0
4196,411,0
4197,414,0
4198,415,0
4199,397,0
4200,347,0
4200,416,0
4201,269,0
4201,417,0
4202,361,0
4203,280,0
4204,418,0
4204,419,0
4205,422,0
4206,424,0
4207,424,0
4208,424,0
4209,366,0
4210,277,0
4210,366,0
4211,425,0
4212,276,0
4212,277,0
4213,426,0
4214,428,0
4215,428,0
4216,333,0
4217,429,0
4218,429,0
4219,392,0
4219,429,0
4220,430,0
4221,431,0
4222,433,0
4223,434,0
4224,324,0
4224,436,0
4225,440,0
4226,441,0
4227,441,0
4228,441,0
4229,441,0
4230,441,0
4231,441,0
4231,442,0
4232,396,0
4232,441,0
4233,441,0
4234,445,0
4235,84,0
4236,446,0
4237,447,0
4238,448,0
4239,450,0
4240,452,0
4241,439,0
4241,453,0
4242,454,0
4243,454,0
4244,455,0
4245,455,0
4246,428,0
4246,456,0
4247,457,0
4248,460,0
4249,460,0
4250,417,0
4250,461,0
4251,463,0
4252,464,0
4253,94,0
4254,465,0
4255,352,0
4256,468,0
4256,469,0
4257,468,0
4258,379,0
4258,470,0
4259,72,0
4260,72,0
4261,72,0
4261,209,0
4262,72,0
4262,73,0
4263,72,0
4263,73,0
4264,72,0
4264,73,0
4265,72,0
4265,73,0
4266,72,0
4266,73,0
4267,72,0
4267,73,0
4268,425,0
4268,471,0
4269,472,0
4270,474,0
4271,474,0
4272,474,0
4273,474,0
4274,476,0
4275,476,0
4276,484,0
4277,484,0
4278,484,0
4279,484,0
4280,484,0
4281,486,0
4282,8,0
4283,352,0
4284,487,0
4285,383,0
4286,488,0
4286,489,0
4287,375,0
4288,490,0
4289,491,0
4290,492,0
4291,493,0
4292,496,0
4293,439,0
4293,497,0
4294,439,0
4295,498,0
4295,499,0
4296,209,0
4297,501,0
4298,501,0
4298,502,0
4299,310,0
4300,503,0
4301,504,0
4302,310,0
4303,310,0
4303,505,0
4304,469,0
4305,433,0
4306,399,0
4307,399,0
4308,506,0
4309,433,0
4310,509,0
4311,510,0
4312,510,0
4313,511,0
4314,289,0
4315,512,0
4316,513,0
4317,514,0
4318,86,0
4319,80,0
4319,86,0
4320,42,0
4320,515,0
4321,516,0
4322,497,0
4323,517,0
4324,518,0
4325,420,0
4325,519,0
4326,420,0
4326,519,0
4327,246,0
4328,520,0
4329,520,0
4330,521,0
4331,521,0
4331,522,0
4332,76,0
4333,76,0
4334,524,0
4335,296,0
4335,345,0
4336,390,0
4336,525,0
4337,526,0
4338,526,0
4339,527,0
4340,520,0
